[18:05:16:198115 --7:00] [Thread 5444] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM B_Bergen_mcamo_F FOR 400 POPTABS | PLAYER TOTAL MONEY: 9600
[18:05:47:875594 --7:00] [Thread 188] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM H_HelmetLeaderO_oucamo FOR 200 POPTABS | PLAYER TOTAL MONEY: 9400
[18:06:04:533626 --7:00] [Thread 5444] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM U_O_FullGhillie_lsh FOR 150 POPTABS | PLAYER TOTAL MONEY: 9250
[18:06:22:857756 --7:00] [Thread 4364] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM V_PlateCarrierGL_tna_F FOR 500 POPTABS | PLAYER TOTAL MONEY: 8750
[18:07:25:891261 --7:00] [Thread 5444] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM arifle_SPAR_02_snd_F FOR 550 POPTABS | PLAYER TOTAL MONEY: 8200
[18:07:38:183632 --7:00] [Thread 188] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM 150Rnd_556x45_Drum_Mag_Tracer_F FOR 75 POPTABS | PLAYER TOTAL MONEY: 8125
[18:07:38:920011 --7:00] [Thread 5444] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM 150Rnd_556x45_Drum_Mag_Tracer_F FOR 75 POPTABS | PLAYER TOTAL MONEY: 8050
[18:07:39:846944 --7:00] [Thread 188] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM 150Rnd_556x45_Drum_Mag_Tracer_F FOR 75 POPTABS | PLAYER TOTAL MONEY: 7975
[18:07:40:875497 --7:00] [Thread 5444] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM 150Rnd_556x45_Drum_Mag_Tracer_F FOR 75 POPTABS | PLAYER TOTAL MONEY: 7900
[18:07:41:804602 --7:00] [Thread 188] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM 150Rnd_556x45_Drum_Mag_Tracer_F FOR 75 POPTABS | PLAYER TOTAL MONEY: 7825
[18:07:42:711465 --7:00] [Thread 5444] PLAYER: ( 76561198397105276 ) R Pound Town:2 ({BTK} EAST_TEX_SWAMPCAT) REMOTE PURCHASED ITEM 150Rnd_556x45_Drum_Mag_Tracer_F FOR 75 POPTABS | PLAYER TOTAL MONEY: 7750
